80
30 30 30
0 8 2 10
1 7 10 9
2 3 5 6
3 8 8 1
4 6 10 7
5 2 6 6
6 8 9 1
7 10 5 1
8 3 1 4
9 5 6 5
10 8 3 5
11 6 6 3
12 2 9 3
13 8 3 2
14 5 6 3
15 8 3 9
16 9 2 6
17 2 10 6
18 7 9 3
19 9 2 10
20 6 5 5
21 8 7 5
22 8 7 4
23 2 6 3
24 3 4 10
25 4 6 8
26 3 3 3
27 2 10 8
28 7 4 8
29 3 7 3
30 8 2 6
31 10 6 2
32 9 9 4
33 3 3 6
34 3 2 10
35 5 8 8
36 9 6 4
37 2 7 1
38 1 8 10
39 3 5 7
40 6 5 8
41 7 4 2
42 7 6 4
43 8 4 5
44 7 7 5
45 6 2 8
46 3 3 10
47 10 7 4
48 7 1 4
49 3 1 7
50 6 2 1
51 10 3 8
52 2 9 5
53 8 8 8
54 7 8 4
55 4 3 10
56 1 1 2
57 7 8 2
58 1 1 10
59 6 5 2
60 1 7 6
61 1 9 3
62 4 6 8
63 3 8 2
64 6 8 4
65 4 4 1
66 5 2 5
67 2 3 10
68 5 10 1
69 4 6 2
70 1 4 9
71 7 9 3
72 4 6 10
73 9 10 4
74 10 2 2
75 10 1 4
76 3 5 4
77 3 3 9
78 8 4 3
79 2 5 6
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
