80
100 100 100
0 12 7 30
1 7 9 8
2 21 27 33
3 11 2 29
4 2 28 1
5 25 24 30
6 21 27 4
7 6 28 32
8 22 2 3
9 24 3 11
10 5 25 28
11 20 4 4
12 9 29 9
13 10 4 8
14 31 11 25
15 11 26 3
16 23 15 19
17 14 12 33
18 24 21 5
19 9 6 18
20 1 10 34
21 6 34 8
22 5 31 17
23 30 23 5
24 11 16 27
25 17 20 29
26 15 9 10
27 11 27 14
28 32 9 26
29 8 15 13
30 33 8 9
31 24 19 29
32 34 18 10
33 1 9 21
34 33 30 3
35 1 11 23
36 21 31 8
37 14 23 8
38 28 4 18
39 14 23 9
40 28 27 9
41 33 22 8
42 4 32 19
43 6 30 34
44 33 10 18
45 26 10 4
46 23 22 33
47 13 18 4
48 35 21 7
49 14 4 32
50 11 24 14
51 7 15 31
52 11 30 25
53 35 4 26
54 15 32 11
55 31 11 12
56 4 5 21
57 32 10 31
58 6 11 1
59 31 10 20
60 20 7 31
61 16 2 27
62 32 29 5
63 11 30 7
64 29 22 33
65 19 5 3
66 18 32 15
67 5 7 6
68 21 23 22
69 21 8 3
70 19 35 35
71 33 18 1
72 25 23 15
73 33 2 2
74 11 5 29
75 6 13 33
76 3 29 18
77 31 13 20
78 26 2 19
79 21 29 11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
